rank,country,candidate_id,lat,lon,pearson,transform,lag_h,samples
107,FR,fr_zones_237,44.3512,5.5455,-0.0897,ws,0,8760
108,FR,fr_zones_117,47.5041,5.875,-0.0893,ws3,3,8760
109,FR,fr_zones_239,44.3512,6.8636,0.0891,ws,3,8760
110,FR,fr_zones_113,47.5041,3.2386,-0.0889,ws,3,8760
111,FR,fr_zones_088,47.9545,-0.3864,-0.0874,ws,3,8760
112,FR,fr_zones_283,43.0,7.1932,0.0873,ws,1,8760
113,FR,fr_zones_098,47.9545,6.2045,-0.0856,ws3,3,8760
114,FR,fr_zones_258,43.4504,0.2727,0.0856,ws,0,8760
115,FR,fr_zones_199,45.252,0.2727,0.0847,ws,0,8760
116,FR,fr_zones_244,43.9008,0.6023,0.0845,ws,0,8760
